"","Genus_Species","Order","Suborder","Family","Subfamily","Genus","Species","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Gill_Presence","Aquatic","Semiaquatic","Terrestrial","Scansorial","Fossorial","Subfossorial","Cave_dwelling","Nocturnal","Diurnal","Paedomorphic","Metamorphosizing","Direct_Development","Free_living","No_free_living","Lentic_water","Lotic_water","Both_water","No_larva","Females_larger","Males_larger","No_SSD"
"1","Ambystoma_amblycephalum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","amblycephalum",73,11.58,2.26240066513401,4.11,3.96,4.035,2.93,2.94,2.935,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","yes","no","no","no","yes","no","no"
"2","Ambystoma_amblycephalum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","amblycephalum",60,9.34,2.10595437829014,3.82,3.63,3.725,2.42,2.11,2.265,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","yes","no","no","no","yes","no","no"
"3","Ambystoma_annulatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","annulatum",80,8.97,2.07777004603319,3.1,3.17,3.135,2.06,1.99,2.025,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"4","Ambystoma_annulatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","annulatum",80,8.39,2.03198572953791,3.45,3.51,3.48,2.34,2.44,2.39,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"5","Ambystoma_annulatum","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","annulatum",88,12.12,2.29703461568352,3.4,3.6,3.5,2.2,2.43,2.315,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"6","Ambystoma_bishopi","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","bishopi",60,3.77,1.55637334172929,2.98,2.58,2.78,1.7,1.7,1.7,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"7","Ambystoma_bishopi","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","bishopi",56,3.29,1.48730018736413,2.24,2.17,2.205,1.52,1.75,1.635,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no"
"8","Ambystoma_californiense","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","californiense",102,26.53,2.98249059835945,5.25,5.2,5.225,3.37,3.32,3.345,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"9","Ambystoma_californiense","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","californiense",103,29,3.07231682568585,4.77,4.83,4.8,3.56,3.33,3.445,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"10","Ambystoma_californiense","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","californiense",115,46.87,3.60549572124822,4.95,4.87,4.91,3.62,4.11,3.865,"no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes"
"11","Ambystoma_dumerilii","Caudata","Salamandroidea","Ambystomatidae",NA,"Ambystoma","dumerilii",169,131.83,5.08945662413918,5.83,5.63,5.73,3.25,3.2,3.225,"yes","yes","no","no","no","no","no","no","NA","NA","yes","no","no","yes","no","yes","no","no","no","NA","NA","NA"
