"","Family","Subfamily","Genus","Species","Sampled"
"1","Ambystomatidae",NA,"Ambystoma","amblycephalum",2
"2","Ambystomatidae",NA,"Ambystoma","annulatum",3
"3","Ambystomatidae",NA,"Ambystoma","bishopi",2
"4","Ambystomatidae",NA,"Ambystoma","californiense",3
"5","Ambystomatidae",NA,"Ambystoma","dumerilii",1
"6","Ambystomatidae",NA,"Ambystoma","gracile",3
"7","Ambystomatidae",NA,"Ambystoma","granulosum",1
"8","Ambystomatidae",NA,"Ambystoma","jeffersonianum",3
"9","Ambystomatidae",NA,"Ambystoma","macrodactylum",6
"10","Ambystomatidae",NA,"Ambystoma","maculatum",3
"11","Ambystomatidae",NA,"Ambystoma","mexicanum",3
"12","Ambystomatidae",NA,"Ambystoma","opacum",3
"13","Ambystomatidae",NA,"Ambystoma","ordinarium",1
"14","Ambystomatidae",NA,"Ambystoma","rosaceum",3
"15","Ambystomatidae",NA,"Ambystoma","talpoidem",2
"16","Ambystomatidae",NA,"Ambystoma","texanum",3
"17","Ambystomatidae",NA,"Ambystoma","tigrinum",3
"18","Amphiumidae",NA,"Amphiuma","means",3
"19","Amphiumidae",NA,"Amphiuma","tridactylum",3
"20","Cryptobranchidae",NA,"Andrias","davidianus",2
"21","Cryptobranchidae",NA,"Andrias","japonicus",3
"22","Cryptobranchidae",NA,"Cryptobranchus","alleganiensis",4
"23","Dicamptodontidae",NA,"Dicamptodon","aterrimus",3
"24","Dicamptodontidae",NA,"Dicamptodon","copei",2
"25","Dicamptodontidae",NA,"Dicamptodon","ensatus",3
"26","Dicamptodontidae",NA,"Dicamptodon","tenebrosus",3
"27","Hynobiidae","Hynobiinae","Batrachuperus","karlschmidti",3
"28","Hynobiidae","Hynobiinae","Batrachuperus","yenyuanensis",3
"29","Hynobiidae","Hynobiinae","Hynobius","abei",3
"30","Hynobiidae","Hynobiinae","Hynobius","amjiensis",1
"31","Hynobiidae","Hynobiinae","Hynobius","chinensis",3
"32","Hynobiidae","Hynobiinae","Hynobius","kimurae",3
"33","Hynobiidae","Hynobiinae","Hynobius","leechii",3
"34","Hynobiidae","Hynobiinae","Hynobius","lichenatus",3
"35","Hynobiidae","Hynobiinae","Hynobius","naevius",1
"36","Hynobiidae","Hynobiinae","Hynobius","nebulosus",3
"37","Hynobiidae","Hynobiinae","Hynobius","nigrescens",3
"38","Hynobiidae","Hynobiinae","Hynobius","sonani",3
"39","Hynobiidae","Hynobiinae","Hynobius","tsuensis",3
"40","Hynobiidae","Hynobiinae","Liua","shihi",3
"41","Hynobiidae","Hynobiinae","Pachynobius","shangchengensis",3
"42","Hynobiidae","Hynobiinae","Paradactylodon","mustersi",6
"43","Hynobiidae","Hynobiinae","Ranodon","sibiricus",3
"44","Hynobiidae","Hynobiinae","Salamandrella","keyserlingii",3
"45","Hynobiidae","Onychodactylinae","Onychodactylus","fischeri",3
"46","Hynobiidae","Onychodactylinae","Onychodactylus","japonicus",3
"47","Plethodontidae","Hemidactyliinae","Batrachoseps","attenuatus",3
"48","Plethodontidae","Hemidactyliinae","Batrachoseps","major",3
"49","Plethodontidae","Hemidactyliinae","Batrachoseps","nigriventris",3
"50","Plethodontidae","Hemidactyliinae","Batrachoseps","pacificus",3
"51","Plethodontidae","Hemidactyliinae","Batrachoseps","relictus",3
"52","Plethodontidae","Hemidactyliinae","Bolitoglossa","altamazonica",1
"53","Plethodontidae","Hemidactyliinae","Bolitoglossa","engelhardti",3
"54","Plethodontidae","Hemidactyliinae","Bolitoglossa","lignicolor",1
"55","Plethodontidae","Hemidactyliinae","Bolitoglossa","marmorea",3
"56","Plethodontidae","Hemidactyliinae","Bolitoglossa","mexicana",3
"57","Plethodontidae","Hemidactyliinae","Bolitoglossa","morio",3
"58","Plethodontidae","Hemidactyliinae","Bolitoglossa","platydactyla",3
"59","Plethodontidae","Hemidactyliinae","Bolitoglossa","rostrata",3
"60","Plethodontidae","Hemidactyliinae","Bolitoglossa","rufescens",3
"61","Plethodontidae","Hemidactyliinae","Bolitoglossa","subpalmata",3
"62","Plethodontidae","Hemidactyliinae","Chiropterotriton","chiropterus",3
"63","Plethodontidae","Hemidactyliinae","Chiropterotriton","multidentatus",3
"64","Plethodontidae","Hemidactyliinae","Eurycea","bislineata",3
"65","Plethodontidae","Hemidactyliinae","Eurycea","cirrigera",3
"66","Plethodontidae","Hemidactyliinae","Eurycea","guttolineata",3
"67","Plethodontidae","Hemidactyliinae","Eurycea","longicauda",7
"68","Plethodontidae","Hemidactyliinae","Eurycea","lucifuga",3
"69","Plethodontidae","Hemidactyliinae","Eurycea","nana",3
"70","Plethodontidae","Hemidactyliinae","Eurycea","quadridigitata",3
"71","Plethodontidae","Hemidactyliinae","Eurycea","rathbuni",3
"72","Plethodontidae","Hemidactyliinae","Eurycea","tynerensis",2
"73","Plethodontidae","Hemidactyliinae","Eurycea","wilderae",3
"74","Plethodontidae","Hemidactyliinae","Gyrinophilus","porphyriticus",2
"75","Plethodontidae","Hemidactyliinae","Hemidactylium","scutatum",3
"76","Plethodontidae","Hemidactyliinae","Pseudotriton","montanus",1
"77","Plethodontidae","Hemidactyliinae","Pseudotriton","ruber",3
"78","Plethodontidae","Hemidactyliinae","Stereochilus","marginatus",2
"79","Plethodontidae","Hemidactyliinae","Thorius","boreas",1
"80","Plethodontidae","Hemidactyliinae","Thorius","pennatulus",3
"81","Plethodontidae","Plethodontinae","Aneides","aeneus",3
"82","Plethodontidae","Plethodontinae","Aneides","ferreus",3
"83","Plethodontidae","Plethodontinae","Aneides","flavipuncates",3
"84","Plethodontidae","Plethodontinae","Aneides","hardii",3
"85","Plethodontidae","Plethodontinae","Aneides","lugubris",3
"86","Plethodontidae","Plethodontinae","Aneides","niger",3
"87","Plethodontidae","Plethodontinae","Aneides","vagrans",3
"88","Plethodontidae","Plethodontinae","Desmognathus","auriculatus",3
"89","Plethodontidae","Plethodontinae","Desmognathus","brimleyorum",3
"90","Plethodontidae","Plethodontinae","Desmognathus","conanti",3
"91","Plethodontidae","Plethodontinae","Desmognathus","fuscus",3
"92","Plethodontidae","Plethodontinae","Desmognathus","imitator",3
"93","Plethodontidae","Plethodontinae","Desmognathus","monticola",3
"94","Plethodontidae","Plethodontinae","Desmognathus","ochrophaeus",3
"95","Plethodontidae","Plethodontinae","Desmognathus","quadramaculatus",3
"96","Plethodontidae","Plethodontinae","Ensatina","eschscholtzii",3
"97","Plethodontidae","Plethodontinae","Hydromantes","ambrosii",3
"98","Plethodontidae","Plethodontinae","Hydromantes","brunus",2
"99","Plethodontidae","Plethodontinae","Hydromantes","italicus",3
"100","Plethodontidae","Plethodontinae","Hydromantes","platycephalus",3
"101","Plethodontidae","Plethodontinae","Plethodon","albagula",3
"102","Plethodontidae","Plethodontinae","Plethodon","cinereus",3
"103","Plethodontidae","Plethodontinae","Plethodon","dunni",3
"104","Plethodontidae","Plethodontinae","Plethodon","elongatus",3
"105","Plethodontidae","Plethodontinae","Plethodon","glutinosis",3
"106","Plethodontidae","Plethodontinae","Plethodon","idahoensis",3
"107","Plethodontidae","Plethodontinae","Plethodon","jordani",3
"108","Plethodontidae","Plethodontinae","Plethodon","vehiculum",3
"109","Proteidae","Necturinae","Necturus","alabamensis",1
"110","Proteidae","Necturinae","Necturus","beyeri",2
"111","Proteidae","Necturinae","Necturus","lewisi",3
"112","Proteidae","Necturinae","Necturus","maculosus",3
"113","Rhyacotritonidae",NA,"Rhyacotriton","cascadae",3
"114","Rhyacotritonidae",NA,"Rhyacotriton","olympicus",3
"115","Rhyacotritonidae",NA,"Rhyacotriton","variegatus",3
"116","Salamandridae","Pleurodelinae","Cynops","ensicauda",1
"117","Salamandridae","Pleurodelinae","Cynops","pyrrhogaster",3
"118","Salamandridae","Pleurodelinae","Cynops","wolterstorffi",3
"119","Salamandridae","Pleurodelinae","Echinotriton","andersoni",3
"120","Salamandridae","Pleurodelinae","Euproctus","montanus",2
"121","Salamandridae","Pleurodelinae","Ichthyosaura","alpestris",3
