,Genus_Species,eye_av,cor_av,svl_av,rootmass_av,n,Order,Suborder,Family,Subfamily,Genus,Species,Activity Period,Adult Habitat,Development,Life History,Larval Habitat,pglsres.cdmass
1,Ambystoma_amblycephalum,3.88,2.6,66.5,2.18417752171208,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,nocturnal,aquatic,paedomorphic,free-living,lentic water,0.0314384660838746
2,Ambystoma_annulatum,3.37166666666667000,2.24333333333333,82.6666666666667,2.13559679708487,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0269156777435581
3,Ambystoma_bishopi,2.4925,1.6675,58,1.52183676454671,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0694986983706573
4,Ambystoma_californiense,4.97833333333333,3.55166666666667,106.666666666667,3.22010104843117,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0680920800206666
5,Ambystoma_dumerilii,5.73,3.225,169,5.08945662413918,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.090327709817805
6,Ambystoma_gracile,5.36,4.06166666666667,84.3333333333333,2.2933024492182,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.212759718869716
7,Ambystoma_granulosum,3.405,2.165,63,1.7099759466767,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0142239724552417
8,Ambystoma_jeffersonianum,3.25833333333333,2.39,65.3333333333333,1.8261645700048,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0404309407209926
9,Ambystoma_macrodactylum,3.91583333333333,2.6375,68,1.78744946118549,6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.088679814394694
10,Ambystoma_maculatum,3.97833333333333,2.54,79,2.10190550215159,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.03107186206221
11,Ambystoma_mexicanum,5.02333333333333,2.88833333333333,123,3.79084287529876,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.0632273596956227
12,Ambystoma_opacum,3.73,2.81833333333333,67.6666666666667,1.84217075692956,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.109804104237544
13,Ambystoma_ordinarium,2.73,2.1,55,1.88238568417309,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,diurnal,aquatic,paedomorphic,free-living,lotic water,-0.0234658070496849
14,Ambystoma_rosaceum,3.555,2.44,63,2.24612735373655,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,nocturnal,aquatic,paedomorphic,free-living,lotic water,-0.00326405590007595
15,Ambystoma_talpoideum,2.895,1.92,46.5,1.29959012431625,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0319205116161855
16,Ambystoma_texanum,2.975,1.995,74.6666666666667,1.87397252082396,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0446020117435302
17,Ambystoma_tigrinum,5.65,3.87833333333333,97.6666666666667,2.86713735877051,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.13585663677072
18,Amphiuma_means,NA,3.58166666666667,543,6.86354589441893,3,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.120892923642345
19,Amphiuma_tridactylum,NA,2.83833333333333,545,6.01231271168679,3,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.188209992510634
20,Andrias_davidianus,NA,4.145,338,8.41935303943248,2,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.109458091048249
21,Andrias_japonicus,NA,3.44833333333333,326.333333333333,9.41957594785889,3,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.21794718174063
22,Aneides_aeneus,3.76166666666667,2.67333333333333,60.3333333333333,1.45382516788292,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,aeneus,nocturnal,terrestrial,direct development,no free-living,no larva,0.147126059627146
23,Aneides_ferreus,3.43666666666667,2.39166666666667,58,1.44875489013811,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,ferreus,nocturnal,scansorial,direct development,no free-living,no larva,0.0996628637390886
24,Aneides_flavipunctatus,3.17333333333333,2.13833333333333,60,1.29171605502366,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,flavipunctatus,nocturnal,terrestrial,direct development,no free-living,no larva,0.0802416023874011
25,Aneides_hardii,2.78333333333333,1.82333333333333,46.3333333333333,1.07538961483547,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,hardii,NA,subfossorial,direct development,no free-living,no larva,0.0576863448697589
26,Aneides_lugubris,4.70833333333333,3.55333333333333,84.6666666666667,1.92732756743613,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,lugubris,nocturnal,scansorial,direct development,no free-living,no larva,0.198945152640496
27,Aneides_niger,3.43666666666667,2.575,73.6666666666667,1.743307515018,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,niger,nocturnal,semiaquatic,direct development,no free-living,no larva,0.0846294630736488
28,Aneides_vagrans,3.45666666666667,2.47,68.6666666666667,1.57924447601026,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,vagrans,nocturnal,scansorial,direct development,no free-living,no larva,0.0917072053390021
29,Batrachoseps_attenuatus,1.91166666666667,1.36833333333333,42.3333333333333,0.993140763736866,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,attenuatus,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0467352027310795
30,Batrachoseps_major,2.83333333333333,1.79666666666667,48.3333333333333,1.14513734223081,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,major,nocturnal,subfossorial,direct development,no free-living,no larva,0.0352921634154951
31,Batrachoseps_nigriventris,1.82666666666667,1.24333333333333,35.6666666666667,0.805830480319564,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,nigriventris,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0351411503736096
32,Batrachoseps_pacificus,2.03333333333333,1.40333333333333,40.3333333333333,1.02158138161905,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,pacificus,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0429530906067848
33,Batrachoseps_relictus,2.015,1.42,39,0.862535584967474,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,relictus,nocturnal,subfossorial,direct development,no free-living,no larva,0.00525020500487403
34,Batrachuperus_karlschmidti,3.94666666666667,2.75833333333333,73.3333333333333,1.91116796903992,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.0910991186919468
35,Batrachuperus_yenyuanensis,4.80166666666667,3.51,85,2.39541827972683,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.138273577191454
36,Bolitoglossa_altamazonica,3.4,2.395,53,1.51973910573027,1,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,altamazonica,nocturnal,scansorial,direct development,no free-living,no larva,0.088092068402787
37,Bolitoglossa_engelhardti,3.30333333333333,2.35166666666667,48.6666666666667,1.2613016154594,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,engelhardti,NA,scansorial,direct development,no free-living,no larva,0.127606958728804
38,Bolitoglossa_lignicolor,3.77,2.58,62,1.44064528692515,1,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,lignicolor,nocturnal,scansorial,direct development,no free-living,no larva,0.134010738084416
39,Bolitoglossa_marmorea,4.09166666666667,2.92,62.3333333333333,1.53056983387466,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,marmorea,nocturnal,scansorial,direct development,no free-living,no larva,0.172361812478564
40,Bolitoglossa_mexicana,4.35333333333333,2.96666666666667,80,1.92788054902655,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,mexicana,nocturnal,scansorial,direct development,no free-living,no larva,0.120504933719436
41,Bolitoglossa_morio,3.31166666666667,2.29,56,1.42177585049763,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,morio,nocturnal,scansorial,direct development,no free-living,no larva,0.0855824675136486
42,Bolitoglossa_platydactyla,4.14833333333333,2.94166666666667,84,1.97625077023645,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,platydactyla,nocturnal,scansorial,direct development,no free-living,no larva,0.110522100371568
43,Bolitoglossa_rostrata,3.515,2.36833333333333,47,1.18019632162372,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rostrata,nocturnal,scansorial,direct development,no free-living,no larva,0.147591549047829
44,Bolitoglossa_rufescens,2.58666666666667,1.78333333333333,33.6666666666667,0.877313587038634,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rufescens,nocturnal,scansorial,direct development,no free-living,no larva,0.0998702578106873
